ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,borrow_leq_cap,borrow_gt_cap,whitelisted,exclude_borrow_gt_cap,exclude_no_shares,exclude_borrow_spike,long_usd,short_usd,strategy_tag
XYLG,SPY,1.0,0.0096,CC,0.0304,10000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
JEPI,SPY,1.0,0.0614,CC,0.0,200000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
SPYI,SPY,1.0,0.0433,CC,0.0,1500000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
ABNY,ABNB,1.0,-0.0413,CC,0.0578,1000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
AIYY,AI,1.0,0.1943,CC,0.0265,10000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
AMZY,AMZN,1.0,0.0208,CC,0.0,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
APLY,AAPL,1.0,0.0132,CC,0.0695,9000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
BABO,BABA,1.0,0.2374,CC,0.0,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
BRKC,BRK-B,1.0,-0.0122,CC,0.0177,1000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
CONY,COIN,1.0,0.2456,CC,0.0943,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
DRAY,DKNG,1.0,-0.0358,CC,0.0451,800,False,True,False,False,False,True,False,543.48,-543.48,ETF_LS
FBY,META,1.0,0.1027,CC,0.0,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
GOOY,GOOGL,1.0,0.1292,CC,0.0426,80000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
HOOY,HOOD,1.0,0.533,CC,0.0246,30000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MARO,MARA,1.0,0.0694,CC,0.0015,30000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSFO,MSFT,1.0,-0.0601,CC,0.0761,70000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSTY,MSTR,1.0,0.1265,CC,0.1246,20000,False,False,True,True,False,False,False,543.48,-543.48,ETF_LS
NFLY,NFLX,1.0,0.103,CC,0.0,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
NVDY,NVDA,1.0,0.1311,CC,0.0812,1000000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
PYPY,PYPL,1.0,-0.0592,CC,0.0422,9000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
RBLY,RBLX,1.0,-0.1465,CC,0.0028,400,False,True,False,False,False,True,False,543.48,-543.48,ETF_LS
RDYY,RDDT,1.0,0.1127,CC,0.0758,15000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
SNOY,SNOW,1.0,0.0957,CC,0.0,15000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
TSLY,TSLA,1.0,0.1317,CC,0.0628,250000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
TSMY,TSM,1.0,0.1674,CC,0.0046,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
XYZY,XYZ,1.0,0.0757,CC,0.0203,15000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
AMZW,AMZN,1.0,-0.0325,CC,0.0306,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
ARMW,ARM,1.0,0.635,CC,0.0939,10000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
COIW,COIN,1.0,-0.0872,CC,0.0968,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
HOOW,HOOD,1.0,-0.1429,CC,0.01,200000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
METW,META,1.0,0.0074,CC,0.0,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSFW,MSFT,1.0,0.0744,CC,0.0,40000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSTW,MSTR,1.0,0.5979,CC,0.0401,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
NFLW,NFLX,1.0,0.1337,CC,0.0,20000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
PLTW,PLTR,1.0,-0.1274,CC,0.0135,250000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
TSLW,TSLA,1.0,-0.1436,CC,0.0888,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
