symbol,price
AAPL,273.41
AAPU,34.0
ABNB,137.1
ABNY,47.72
AI,13.8
AIYY,17.67
ALAB,173.11
AMD,215.01
AMUU,55.15
AMZN,231.32
AMZU,35.12
AMZW,42.48
AMZY,13.3
APLY,13.37
APP,695.8
APPX,37.61
ARM,111.13
ARMW,27.62
ASMG,22.95
ASML,1076.32
ASTS,75.52
ASTX,44.19
BABA,147.66
BABO,13.27
BITX,28.13
BKNG,5439.08
BKNU,22.65
BLSH,39.44
BLSX,12.38
BRK-B,504.53
BRKC,45.35
BRKU,25.05
BTCL,29.42
CEG,356.93
CEGX,28.63
CMG,37.19
CMGG,20.29
COIG,15.42
COIN,233.04
COIW,20.65
CONY,40.42
CRM,266.07
CRMG,13.85
CRWV,75.23
CSCL,30.19
CSCO,77.47
CWVX,24.12
DKNG,34.62
DKUP,12.4
DRAY,31.07
ELIL,28.55
ETHA,22.31
ETHU,54.14
ETU,14.35
FBY,12.73
GGLL,97.62
GLXU,10.95
GLXY,22.87
GOOGL,314.07
GOOX,70.35
GOOY,14.65
GXRP,36.42
HOOD,116.74
HOOW,49.4
HOOY,48.88
IBIT,49.92
IREG,17.49
IREN,38.92
JEPI,57.98
JEPQ,59.17
LABX,16.61
LLY,1080.39
LMT,489.55
LMTL,30.74
MARA,9.46
MARO,7.93
META,667.36
METU,32.85
METW,36.17
MSFO,15.57
MSFT,488.53
MSFU,42.34
MSFW,39.9
MSFX,27.93
MSTR,157.07
MSTU,8.92
MSTW,10.17
MSTX,4.11
MSTY,30.42
MU,294.85
MUU,107.6
NFLU,32.6
NFLW,27.47
NFLX,93.92
NFLY,12.02
NFXL,30.77
NVDA,188.25
NVDG,17.18
NVDO,18.71
NVDU,120.1
NVDY,14.71
OPEG,9.96
OPEN,5.8138
PALU,18.52
PANG,11.43
PANW,187.14
PLTR,182.63
PLTU,77.71
PLTW,38.72
PYPL,59.15
PYPY,41.37
QCMU,27.96
QCOM,173.85
QQQ,620.78
QQQX,28.65
QYLD,17.75
QYLG,27.42
RBLX,82.26
RBLY,29.5
RDDT,234.71
RDYY,38.3
SNOW,222.78
SNOY,12.39
SPY,687.67
SPYI,52.86
TEM,60.6
TEMT,12.1
TSLA,458.17
TSLL,19.85
TSLO,20.48
TSLT,27.75
TSLW,34.13
TSLY,38.19
TSM,301.22
TSMY,15.46
UNH,332.86
UNHG,17.07
UPST,45.23
UPSX,53.28
XOM,120.99
XOMX,29.29
XXRP,9.98
XYLD,40.75
XYLG,27.62
XYZ,65.74
XYZY,34.27
