symbol,price
AAPL,273.81
AAPU,34.08
ABNB,136.76999999999998
ABNY,47.525000000000006
AI,13.885000000000002
AIYY,17.71
ALAB,168.435
AMD,215.38
AMDG,29.755
AMUU,55.33
AMZN,231.86
AMZU,35.31
AMZW,42.635
AMZY,13.315000000000001
APLY,13.385000000000002
APP,695.515
APPX,37.78
ARM,110.53
ARMW,27.36
ASMG,25.0
ASML,1066.415
BABA,147.99
BABO,13.305
BITX,27.655
BKNG,5436.93
BKNU,22.634999999999998
BLSH,40.35
BLSX,13.035
BRK-B,500.855
BRKC,45.099999999999994
BTCL,28.925
CEG,361.355
CEGX,29.355
CMG,37.135000000000005
CMGG,20.205
COIG,15.39
COIN,233.06
COIW,20.625
CONY,40.375
CRM,266.505
CRMG,13.895
CRWG,3.245
CRWV,75.57
CSCL,30.48
CSCO,77.695
CWVX,24.415
DKNG,34.425
DKUP,12.25
DRAY,30.935000000000002
ELIL,28.845
ETHA,22.175
ETHU,53.44
ETU,14.165
FBY,12.585
GGLL,97.1
GLXU,11.24
GLXY,23.130000000000003
GOOGL,313.12
GOOX,70.025
GOOY,14.605
GXRP,35.955
HOOD,116.795
HOOW,49.475
HOOY,48.870000000000005
IBIT,49.525000000000006
JEPI,58.015
JEPQ,59.175
LABX,15.695
LAC,4.69
LACG,11.41
LLY,1084.7350000000001
LMT,488.55
LMTL,30.665
MARA,9.415
MARO,7.890000000000001
META,659.105
METU,32.065
METW,35.68
MSFO,15.535
MSFT,487.09
MSFU,42.095
MSFW,39.705
MSFX,27.740000000000002
MSTR,156.375
MSTU,8.864999999999998
MSTW,10.145
MSTX,4.085
MSTY,30.275
MU,292.25
MUU,105.755
NFLU,32.84
NFLW,27.585
NFLX,94.235
NFLY,12.035
NFXL,30.985
NVDA,187.7
NVDG,19.064999999999998
NVDO,21.744999999999997
NVDU,119.475
NVDW,42.135000000000005
NVDY,14.655000000000001
PALU,18.520000000000003
PANG,12.735
PANW,187.14499999999998
PLTR,185.34
PLTU,80.08
PLTW,39.349999999999994
PYPL,59.425
PYPY,41.42
QCMU,27.939999999999998
QCOM,173.72
QQQ,621.235
QQQX,28.4
QYLD,17.744999999999997
QYLG,30.23
RBLX,81.275
RBLY,29.235
RDDT,234.565
RDYY,38.195
SNOW,223.315
SNOY,12.405000000000001
SPY,688.145
SPYI,52.885000000000005
TEM,60.965
TEMT,12.239999999999998
TER,196.92000000000002
TERG,19.314999999999998
TSLA,463.135
TSLG,10.535
TSLL,20.314999999999998
TSLO,24.59
TSLT,28.375
TSLW,34.595
TSLY,38.555
TSM,300.27
TSMY,15.39
UNH,329.395
UNHG,18.585
XOM,120.755
XOMO,11.7
XOMX,29.2
XXRP,9.780000000000001
XYLD,40.745000000000005
XYLG,29.77
XYZ,65.91499999999999
XYZY,34.275
