symbol,price
AAPL,273.05
AAPU,33.97
ABNB,136.82
ABNY,47.42
AI,13.93
AIYY,17.85
ALAB,167.0
AMD,214.81
AMDG,29.74
AMUU,54.01
AMZN,232.45
AMZU,35.49
AMZW,42.74
AMZY,13.3
APLY,13.45
APP,714.64
APPX,39.81
ARM,111.55
ARMW,27.11
ASMG,25.49
ASML,1072.23
BABA,152.11
BABO,13.6
BITX,27.7
BKNG,5440.14
BKNU,23.0
BLSH,41.23
BLSX,13.46
BRK-B,497.8
BRKC,44.89
BTCL,28.46
CEG,359.45
CEGX,29.05
CMG,37.7
CMGG,21.12
COIG,16.0
COIN,236.02
COIW,21.05
CONY,40.79
CRM,265.01
CRMG,13.86
CRWG,3.28
CRWV,75.98
CSCL,30.8
CSCO,78.0
CWVX,24.8
DKNG,34.99
DKUP,12.52
DRAY,30.88
ELIL,28.51
ETHA,22.11
ETHU,52.904
ETU,13.89
FBY,12.58
GGLL,97.15
GLXU,11.33
GLXY,23.19
GOOGL,313.2
GOOX,70.75
GOOY,14.61
GXRP,35.98
HOOD,117.51
HOOW,50.07
HOOY,49.0
IBIT,49.54
JEPI,58.03
JEPQ,59.29
LABX,15.29
LAC,4.69
LACG,12.39
LLY,1075.5
LMT,482.71
LMTL,30.2
MARA,9.58
MARO,7.95
META,662.18
METU,32.4
METW,35.57
MSFO,15.53
MSFT,487.14
MSFU,42.1
MSFW,39.7
MSFX,27.91
MSTR,158.04
MSTU,9.01
MSTW,10.37
MSTX,4.19
MSTY,30.4
MU,285.02
MUU,100.98
NFLU,33.06
NFLW,27.77
NFLX,94.35
NFLY,12.05
NFXL,31.07
NVDA,190.08
NVDG,19.54
NVDO,21.89
NVDU,122.67
NVDW,42.76
NVDY,14.8
PALU,19.0
PANG,12.93
PANW,188.3
PLTR,188.2
PLTU,82.71
PLTW,40.37
PYPL,59.89
PYPY,41.66
QCMU,28.27
QCOM,174.5
QQQ,623.2
QQQX,28.52
QYLD,17.77
QYLG,30.28
RBLX,82.26
RBLY,29.35
RDDT,225.5
RDYY,37.1
SNOW,223.83
SNOY,12.1
SPY,689.91
SPYI,52.95
TEM,62.4
TEMT,12.97
TER,199.0
TERG,19.76
TSLA,473.82
TSLG,11.06
TSLL,21.29
TSLO,24.87
TSLT,29.7
TSLW,35.63
TSLY,39.33
TSM,303.04
TSMY,15.44
UNH,331.4
UNHG,18.73
XOM,119.09
XOMO,11.57
XOMX,28.19
XXRP,9.69
XYLD,40.72
XYLG,29.79
XYZ,66.25
XYZY,34.47
