captured_at,account,symbol,symbol_ib,localSymbol,conId,secType,currency,exchange,primaryExchange,qty,avgCost
2025-12-30 12:56:19,U805366,BRBR,BRBR,BRBR,545665955,STK,USD,NYSE,,3169.0,10.47575135
2025-12-30 12:56:19,U805366,USD,USD,USD.MXN,35045199,CASH,MXN,,,957.0,18.77555005
2025-12-30 12:56:19,U805366,USD,USD,USD.NOK,37971206,CASH,NOK,,,126.0,10.08705
2025-12-30 12:56:19,U805366,LMN,LMN,LMN,614065616,STK,CAD,VENTURE,,900.0,0.00013335
2025-12-30 12:56:19,U805366,MCHB,MCHB,MCHB,98559149,STK,USD,NASDAQ,,6697.0,9.0017227
2025-12-30 12:56:19,U805366,CMPO,CMPO,CMPO,535283345,STK,USD,NYSE,,2408.0,6.1085028
2025-12-30 12:56:19,U805366,MACK,MACK,MACK,288227417,STK,USD,VALUE,,5000.0,0.0336226
2025-12-30 12:56:19,U805366,PRVL.CVR,PRVL.CVR,PRVL.CVR,467746459,STK,USD,CORPACT,,10600.0,0.1972205
2025-12-30 12:56:19,U805366,CSU.WTS,CSU.WTS,CSU.WTS,651671469,STK,CAD,VALUE,,300.0,0.0001
2025-12-30 12:56:19,U805366,MCO,MCO,MCO,6497,STK,USD,NYSE,,621.0,72.5214454
2025-12-30 12:56:19,U805366,USD,USD,USD.CAD,15016062,CASH,CAD,,,858.0,1.36565
2025-12-30 12:56:19,U805366,BRK-B,BRK B,BRK B,72063691,STK,USD,NYSE,,50.0,94.5
2025-12-30 12:56:19,U805366,BJRI,BJRI,BJRI,4728009,STK,USD,NASDAQ,,5000.0,32.0731311
2025-12-30 12:56:19,U805366,FIHO12,FIHO12,FIHO12,118590875,STK,MXN,MEXI,,62522.0,2.8737411
2025-12-30 12:56:19,U805366,SPHR,SPHR,SPHR,415600200,STK,USD,NYSE,,1000.0,28.2025026
2025-12-30 12:56:19,U805366,GKTX.PS3,GKTX.PS3,GKTX.PS3,461926714,STK,EUR,CORPACT,,24579.0,0.0481801
2025-12-30 12:56:19,U805366,GKTX.PS2,GKTX.PS2,GKTX.PS2,461926719,STK,EUR,CORPACT,,24579.0,0.0481801
2025-12-30 12:56:19,U805366,GKTX.PS1,GKTX.PS1,GKTX.PS1,461926709,STK,EUR,CORPACT,,24579.0,0.0481801
2025-12-30 12:56:19,U805366,VSTS,VSTS,VSTS,655454642,STK,USD,NYSE,,1000.0,5.0125246
2025-12-30 12:56:19,U805366,TOI,TOI,TOI,462267693,STK,CAD,VENTURE,,567.0,2.1582374
2025-12-30 12:56:19,U805366,MEHCQ.ESC,MEHCQ.ESC,MEHCQ.ESC,837460811,STK,USD,VALUE,,16000.0,4.09005905
2025-12-30 12:56:19,U805366,JL80,JL80,JL80,665375494,STK,EUR,FWB,,1000.0,2.36525
2025-12-30 12:56:19,U805366,GLIBA.ESC,GLIBA.ESC,GLIBA.ESC,633289581,STK,USD,VALUE,,2835.0,0.0
2025-12-30 12:56:19,U805366,FNMAP,FNMAP,FNMAP,14075909,STK,USD,PINK,,1000.0,22.2082028
2025-12-30 12:56:19,U805366,CSU,CSU,CSU,39194759,STK,CAD,TSE,,300.0,131.67994035
2025-12-30 12:56:19,U805366,AENT,AENT,AENT,620888534,STK,USD,NASDAQ,,-3000.0,6.02513395
2025-12-30 12:56:19,U805366,FNMAO,FNMAO,FNMAO,14075914,STK,USD,PINK,,500.0,23.0032028
2025-12-30 12:56:19,U805366,ADMS.CVR1,ADMS.CVR1,ADMS.CVR1,529727822,STK,USD,CORPACT,,20378.0,0.0001
