ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,exclude_borrow_gt_cap_and_neg_cagr,exclude_no_shares,exclude_borrow_spike,include_for_algo
TERG,TER,2.0,0.0691162660712558,2x,0.0,1000,False,True,True,False,False,False,False,True
UNHG,UNH,2.0,0.0471147928608792,2x,0.045666,15000,False,True,True,False,False,False,False,True
UPSG,UPS,2.0,0.0140867138616065,2x,,0,False,True,False,True,False,True,False,False
XYZG,XYZ,2.0,-0.013485360948157,2x,0.171446,20000,False,False,False,True,True,False,False,False
COIO,COIN,2.0,-0.4500877432630051,2x,0.28871800000000003,200,False,False,False,True,True,True,False,False
MSOO,MSTR,2.0,-0.8341415000535896,2x,1.219668,100,False,False,False,True,True,True,False,False
NVDO,NVDA,2.0,-0.0775952704026913,2x,0.050567999999999995,600,False,False,True,False,False,True,False,False
PLOO,PLTR,2.0,0.0862074079675303,2x,,0,False,True,False,True,False,True,False,False
TSLO,TSLA,2.0,0.8187045662097925,2x,0.22625800000000001,300,False,True,False,True,False,True,False,False
QYLD,QQQ,1.0,0.0201949862688848,CC,0.08262,300000,False,True,True,False,False,False,False,True
QYLG,QQQ,1.0,0.0361617650368104,CC,0.0,60000,False,True,True,False,False,False,False,True
QQQX,QQQ,1.0,0.0348475494983038,CC,0.0,100000,False,True,True,False,False,False,False,True
JEPQ,QQQ,1.0,0.0413601868347548,CC,0.0,1400000,False,True,True,False,False,False,False,True
XYLD,SPY,1.0,0.0103671254660011,CC,0.048297999999999994,50000,False,True,True,False,False,False,False,True
XYLG,SPY,1.0,0.0072313961349106,CC,0.025308,25000,False,True,True,False,False,False,False,True
JEPI,SPY,1.0,0.0604391605153147,CC,0.0,1300000,False,True,True,False,False,False,False,True
SPYI,SPY,1.0,0.0431317676601064,CC,0.0,1400000,False,True,True,False,False,False,False,True
RYLD,IWM,1.0,-0.1290775688527978,CC,0.18690600000000002,150000,False,False,False,True,True,False,False,False
ABNY,ABNB,1.0,-0.0402691414980883,CC,0.061121999999999996,2000,False,False,True,False,False,False,False,True
AIYY,AI,1.0,0.2122571756942564,CC,0.013458,15000,False,True,True,False,False,False,False,True
AMDY,AMD,1.0,-0.0377528374949328,CC,0.194118,300000,False,False,False,True,True,False,False,False
AMZY,AMZN,1.0,0.0155738185999261,CC,0.0,200000,False,True,True,False,False,False,False,True
APLY,AAPL,1.0,0.036490720304859,CC,0.042684,40000,False,True,True,False,False,False,False,True
BABO,BABA,1.0,0.2344061537852384,CC,0.0,70000,False,True,True,False,False,False,False,True
BRKC,BRK-B,1.0,0.0072363272795274,CC,0.014034,3000,False,True,True,False,False,False,False,True
CONY,COIN,1.0,0.2640920809790332,CC,0.090384,300000,False,True,True,False,False,False,False,True
CRCO,CRCL,1.0,-0.3884079166123574,CC,0.432794,15000,False,False,False,True,True,False,False,False
CVNY,CVNA,1.0,0.0177846783312538,CC,0.147948,49,False,True,False,True,False,True,False,False
DISO,DIS,1.0,-0.1730377789601543,CC,0.23621199999999998,10000,False,False,False,True,True,False,False,False
DRAY,DKNG,1.0,-0.063742982576829,CC,0.045156,1000,False,False,True,False,False,False,False,True
FBY,META,1.0,0.099561843556768,CC,0.0,85000,False,True,True,False,False,False,False,True
GMEY,GME,1.0,0.069407205275783,CC,,0,False,True,False,True,False,True,False,False
GOOY,GOOGL,1.0,0.1341476073310894,CC,0.032408,300000,False,True,True,False,False,False,False,True
HIYY,HIMS,1.0,-0.3538867435290214,CC,0.240006,1000,False,False,False,True,True,False,False,False
HOOY,HOOD,1.0,0.5508352935827916,CC,0.038456,35000,False,True,True,False,False,False,False,True
JPMO,JPM,1.0,0.1346157815907724,CC,0.080412,10000,False,True,True,False,False,False,False,True
MARO,MARA,1.0,0.0731717526442587,CC,0.0011680000000000024,80000,False,True,True,False,False,False,False,True
MRNY,MRNA,1.0,0.019057880372995,CC,0.12223600000000001,5000,False,True,False,True,False,False,False,True
MSFO,MSFT,1.0,-0.0588231303171565,CC,0.069906,40000,False,False,True,False,False,False,False,True
MSTY,MSTR,1.0,0.1466872268128118,CC,0.10777400000000001,200000,False,True,False,True,False,False,False,True
NFLY,NFLX,1.0,0.1002149563018619,CC,0.0,150000,False,True,True,False,False,False,False,True
NVDY,NVDA,1.0,0.1215731523824219,CC,0.112842,1900000,False,True,False,True,False,False,False,True
PLTY,PLTR,1.0,0.4530986514613238,CC,0.09386800000000001,40000,False,True,True,False,False,False,False,True
PYPY,PYPL,1.0,-0.05993956058826,CC,0.046509999999999996,15000,False,False,True,False,False,False,False,True
RBLY,RBLX,1.0,-0.1625004938113836,CC,0.0,2000,False,False,True,False,False,False,False,True
RDYY,RDDT,1.0,0.1042316276030832,CC,0.069974,25000,False,True,True,False,False,False,False,True
SMCY,SMCI,1.0,0.0851995513226633,CC,0.222104,350000,False,True,False,True,False,False,False,True
SNOY,SNOW,1.0,0.0955232379381014,CC,7.400000000000115e-05,100000,False,True,True,False,False,False,False,True
TSLY,TSLA,1.0,0.1308320233558659,CC,0.070576,1200000,False,True,True,False,False,False,False,True
TSMY,TSM,1.0,0.1555580717672759,CC,0.0,100000,False,True,True,False,False,False,False,True
XOMO,XOM,1.0,0.0216063132662331,CC,0.032708,100000,False,True,True,False,False,False,False,True
XYZY,XYZ,1.0,0.0737025106462507,CC,0.017804,45000,False,True,True,False,False,False,False,True
