ETF,Underlying,Leverage,cagr_port_hist,LevType
SMU,SMR,2.0,0.021568382204390835,2x
SNPX,SNPS,2.0,0.04022724509833675,2x
SRPU,SRPT,2.0,-0.038011793434410523,2x
TARK,ARKK,2.0,-0.4479745846282396,2x
TEMT,TEM,2.0,0.06134474675697987,2x
UNX,U,2.0,-0.03757836194627495,2x
UPSX,UPST,2.0,0.027985751645656753,2x
VOYX,VOYG,2.0,-0.1042444443943853,2x
WULX,WULF,2.0,0.009583879016379804,2x
IWML,SPY,2.0,0.06291464677845293,2x
AALG,AAL,2.0,-0.04837946829342854,2x
ABNG,ABNB,2.0,0.01612653617740656,2x
ADBG,ADBE,2.0,-0.04138590331502523,2x
AMDG,AMD,2.0,-0.004712510211508203,2x
ARMG,ARM,2.0,-0.11031586318092768,2x
ASMG,ASML,2.0,0.048233065899226935,2x
AVGG,AVGO,2.0,-0.043930259172014985,2x
BAIG,BBAI,2.0,-0.010065510243099873,2x
BEG,BE,2.0,-0.09201328293593392,2x
BIDG,BIDU,2.0,-0.03404771472603396,2x
BLSG,BLSH,2.0,-0.5849851141895898,2x
BMNG,BMNR,2.0,0.049444107261753745,2x
BOEG,BA,2.0,-0.04212532276781511,2x
BULG,BULL,2.0,0.045589414490618596,2x
CIFG,CIFR,2.0,-0.1407166740466631,2x
CMGG,CMG,2.0,0.04554090855165116,2x
CNCG,CNC,2.0,0.08863572986641644,2x
COIG,COIN,2.0,0.02368911262834361,2x
COTG,COST,2.0,-0.04236428274865389,2x
CRCG,CRCL,2.0,-0.008494577025152439,2x
CRMG,CRM,2.0,0.06271520418730647,2x
CRWG,CRWV,2.0,0.0072950734046799415,2x
DUOG,DUOL,2.0,0.09935234337710996,2x
FIGG,FIG,2.0,-0.13768045270619544,2x
FUTG,FUTU,2.0,-0.009418418902033321,2x
GEMG,GEMI,2.0,-0.24371038706130244,2x
GEVG,GEV,2.0,-0.018031900359005593,2x
GLGG,GLXY,2.0,-0.13655738653190352,2x
GRAG,GRAB,2.0,-0.16656281990343436,2x
HOOG,HOOD,2.0,-0.04026087671137335,2x
IREG,IREN,2.0,0.043212456626933404,2x
KLAG,KLAC,2.0,0.15657732896785648,2x
LACG,LAC,2.0,-0.10915743342171214,2x
LULG,LULU,2.0,-0.23897821266433306,2x
MPG,MP,2.0,0.005423348609516321,2x
NBIG,NBIS,2.0,-0.08985694034649949,2x
NEMG,NEM,2.0,0.04217500530332652,2x
NETG,NET,2.0,0.02885281767576653,2x
NIOG,NIO,2.0,-0.09779801470799376,2x
NUG,NU,2.0,-0.2334033694782004,2x
NVDG,NVDA,2.0,0.03690445773529061,2x
OKTG,OKTA,2.0,0.10405086586528389,2x
OPEG,OPEN,2.0,-0.077025951781447,2x
OSCG,OSCR,2.0,-0.01578884300981087,2x
PANG,PANW,2.0,0.05831068207984824,2x
PBRG,PBR,2.0,0.06770102822551993,2x
PLTG,PLTR,2.0,-0.05086486542595059,2x
PYPG,PYPL,2.0,-0.15476015187998182,2x
RTXG,RTX,2.0,-0.10678415108850803,2x
SATG,SATS,2.0,0.003936676501082204,2x
SBU,SBUX,2.0,0.07573880665268762,2x
SNAG,SNAP,2.0,0.04622807522733563,2x
SPOG,SPOT,2.0,-0.07191203932370549,2x
TERG,TER,2.0,0.06889839632234285,2x
TSLG,TSLA,2.0,0.0005880404671216866,2x
TSMG,TSM,2.0,-0.05582750758999311,2x
UNHG,UNH,2.0,0.041028663657695086,2x
UPSG,UPS,2.0,-0.05620678977525928,2x
VALG,VALE,2.0,-0.1619205293772492,2x
XYZG,XYZ,2.0,-0.03668396530620288,2x
COIO,COIN,2.0,-0.4065383539378221,2x
MSOO,MSTR,2.0,-0.8057869817042875,2x
NVDO,NVDA,2.0,-0.09065157910760757,2x
PLOO,PLTR,2.0,-0.10825590571760002,2x
TSLO,TSLA,2.0,0.5863091987376075,2x
CRCA,CRCL,2.0,-0.03381711258380116,2x
NVDB,NVDA,2.0,0.0039578049102637625,2x
PLTA,PLTR,2.0,0.06755380617663453,2x
TSLI,TSLA,2.0,0.06892128560546773,2x
COIN,COIA,2.0,-0.7678410658750827,2x
BITU,IBIT,2.0,0.08609983914201402,2x
ETHT,ETHA,2.0,0.08437502881838088,2x
UXRP,XRP,2.0,0.124228566561291,2x
SOLT,SOEZ,2.0,0.19961043687889402,2x
TSLR,TSLA,2.0,0.03833843443735874,2x
AAPB,AAPL,2.0,0.04272823818488369,2x
AMDL,AMD,2.0,0.06040814851025722,2x
AMZZ,AMZN,2.0,0.03746703827786746,2x
AVGU,AVGO,2.0,-0.10659561853241672,2x
BABX,BABA,2.0,0.04229966510531824,2x
BULX,BULL,2.0,-0.01072395847964458,2x
CONL,COIN,2.0,0.04051419680918733,2x
CRWL,CRWD,2.0,0.06634074200887641,2x
DLLL,DELL,2.0,-0.11417477918147068,2x
ETRL,ETOR,2.0,-0.06745793601397199,2x
GOU,GOOGL,2.0,-0.04966106548783922,2x
INTW,INTC,2.0,0.05681179811922976,2x
IONL,IONQ,2.0,-0.09530939872979671,2x
ISUL,ISRG,2.0,0.01661328117373806,2x
LCDL,LCID,2.0,-0.1756673919615802,2x
MRAL,MARA,2.0,-0.19856510662158278,2x
FBL,META,2.0,0.15875664350122243,2x
MVLL,MRVL,2.0,-0.014052346665579418,2x
MSFL,MSFT,2.0,0.03220237845202978,2x
MSTP,MSTR,2.0,-0.23445745999379597,2x
MULL,MU,2.0,-0.021250780092529564,2x
NBIL,NBIS,2.0,-0.02970902519089136,2x
NOWL,NOW,2.0,0.025209228670469486,2x
NVDL,NVDA,2.0,0.1750748038919745,2x
PDDL,PDD,2.0,-0.054275213109194476,2x
PTIR,PLTR,2.0,0.043111150862938485,2x
QCML,QCOM,2.0,-0.04531285617107683,2x
RDTL,RDDT,2.0,0.03688290727165344,2x
RVNL,RIVN,2.0,-0.4112245580756668,2x
SMCL,SMCI,2.0,0.029737720413654634,2x
TSMU,TSM,2.0,0.03967100909305388,2x
UBRL,UBER,2.0,0.0422545114672499,2x
VRTL,VRT,2.0,0.07610992916399884,2x
AMYY,AMD,2.0,0.7179367142937283,2x
AZYY,AMZN,2.0,0.24964347477515347,2x
BBYY,BABA,2.0,-0.4440457107005299,2x
XBTY,IBIT,2.0,-0.036242758767853434,2x
COYY,COIN,2.0,-0.36383618481020896,2x
NUGY,GDX,2.0,0.6247764607625947,2x
HMYY,HIMS,2.0,-0.7691456005121252,2x
HOYY,HOOD,2.0,-0.3118646360857277,2x
IOYY,IONQ,2.0,-0.2550246588058753,2x
MAAY,MARA,2.0,-0.8391112206282552,2x
FBYY,META,2.0,-0.24861717930205685,2x
MTYY,MSTR,2.0,-0.6922340540400416,2x
NVYY,NVDA,2.0,0.3726994755801356,2x
PLYY,PLTR,2.0,-0.10239841788755955,2x
QBY,QBTS,2.0,12.357007795863993,2x
TQQY,QQQ,2.0,0.2619873691747834,2x
RGYY,RGTI,2.0,-0.39449127654417304,2x
RTYY,RIOT,2.0,-0.16467383105698052,2x
SEMY,SOXX,2.0,0.8774005017338884,2x
SMYY,SMCI,2.0,-0.696737972702403,2x
YSPY,SPY,2.0,0.1248026450854951,2x
TSYY,TSLA,2.0,-0.19525497879667086,2x
QYLD,QQQ,1.0,0.08034008564132078,CC
QYLG,QQQ,1.0,0.036287153632987845,CC
QQQX,QQQ,1.0,0.03510920195905465,CC
JEPQ,QQQ,1.0,0.04006259102057941,CC
XYLD,SPY,1.0,0.031085291280012584,CC
XYLG,SPY,1.0,0.011794397334526252,CC
JEPI,SPY,1.0,0.060150872326970584,CC
SPYI,SPY,1.0,0.04352931599847509,CC
RYLD,IWM,1.0,-0.07632797154796389,CC
ABNY,ABNB,1.0,-0.030560749319702984,CC
AIYY,AI,1.0,0.1581386653535104,CC
AMDY,AMD,1.0,-0.00890311668378252,CC
AMZY,AMZN,1.0,0.027726892088344002,CC
APLY,AAPL,1.0,0.002015571270898242,CC
BABO,BABA,1.0,0.18653321703975267,CC
BRKC,BRK-B,1.0,0.004457638894193927,CC
CONY,COIN,1.0,0.24006531786774166,CC
CRCO,CRCL,1.0,-0.4526216129139866,CC
CVNY,CVNA,1.0,0.10994883027633584,CC
DISO,DIS,1.0,-0.14463101296154846,CC
DRAY,DKNG,1.0,-0.04879657466408771,CC
FBY,META,1.0,0.09486033601925614,CC
GMEY,GME,1.0,0.10061399537569726,CC
GOOY,GOOGL,1.0,0.1302576933785533,CC
HIYY,HIMS,1.0,-0.3152930172745787,CC
HOOY,HOOD,1.0,0.4580355215050038,CC
JPMO,JPM,1.0,0.06411490690174904,CC
MARO,MARA,1.0,0.08753179316595405,CC
MRNY,MRNA,1.0,0.010680981882037477,CC
MSFO,MSFT,1.0,-0.06585006055738052,CC
MSTY,MSTR,1.0,0.04482925863226095,CC
NFLY,NFLX,1.0,0.09198570073263435,CC
NVDY,NVDA,1.0,0.1851408291698411,CC
PLTY,PLTR,1.0,0.4419026114496001,CC
PYPY,PYPL,1.0,-0.07008001836942157,CC
RBLY,RBLX,1.0,-0.19373177583932855,CC
RDYY,RDDT,1.0,0.05970303903599605,CC
SMCY,SMCI,1.0,0.1275306363344364,CC
SNOY,SNOW,1.0,0.08591826454248541,CC
TSLY,TSLA,1.0,0.11510961154540666,CC
TSMY,TSM,1.0,0.1617092138892795,CC
XOMO,XOM,1.0,0.04448284643617062,CC
XYZY,XYZ,1.0,0.0689842956653266,CC
AAPW,AAPL,1.0,-0.24674199589312795,CC
AMDW,AMD,1.0,-0.196870659356006,CC
AMZW,AMZN,1.0,-0.045298531316725565,CC
ARMW,ARM,1.0,0.5054786021303801,CC
AVGW,AVGO,1.0,-0.24932000096701734,CC
BABW,BABA,1.0,0.07747543088672382,CC
COIW,COIN,1.0,-0.08749144684646426,CC
COSW,COST,1.0,-0.1069742250310538,CC
GDXW,GDX,1.0,-0.741615107124946,CC
GLDW,GOLD,1.0,0.22059425296326052,CC
GOOW,GOOGL,1.0,-0.33499123104714523,CC
HOOW,HOOD,1.0,-0.09420872311871153,CC
METW,META,1.0,-0.08885735010010432,CC
MSFW,MSFT,1.0,0.08665928564279635,CC
MSTW,MSTR,1.0,0.6437857147552197,CC
NFLW,NFLX,1.0,0.15366268417840168,CC
NVDW,NVDA,1.0,-0.15969689192302094,CC
PLTW,PLTR,1.0,-0.10172444356123,CC
TSLW,TSLA,1.0,-0.12552191150220682,CC
UBEW,UBER,1.0,0.11178931277478554,CC
UNHW,UNH,1.0,-0.32658477348154347,CC
