ETF,Underlying,Leverage,cagr_port_hist,LevType
AAPU,AAPL,2.0,0.026743078035069034,2x
AMUU,AMD,2.0,0.05724603973711373,2x
AMZU,AMZN,2.0,0.050621673738246775,2x
AVL,AVGO,2.0,0.03939488838566407,2x
BITX,IBIT,2.0,0.07106800917009726,2x
BOEU,BA,2.0,0.016221131198100425,2x
BRKU,BRK-B,2.0,0.03906994111479323,2x
BULU,BULL,2.0,0.18360350833499028,2x
CSCL,CSCO,2.0,0.01054771085349393,2x
ELIL,LLY,2.0,0.020345607495003915,2x
ETHU,ETHA,2.0,0.11730439682752958,2x
FRDU,F,2.0,0.03176812251420791,2x
GGLL,GOOGL,2.0,0.06163475833124865,2x
GMEU,GME,2.0,0.006235806539338418,2x
LMTL,LMT,2.0,0.0505972700800581,2x
METU,META,2.0,0.05528381040740493,2x
MUU,MU,2.0,0.03704560876828267,2x
MSFU,MSFT,2.0,0.06858842105475538,2x
MSTX,MSTR,2.0,-0.03520697242376125,2x
NVDU,NVDA,2.0,0.12289544028344168,2x
NFXL,NFLX,2.0,0.05603891851920628,2x
PLTU,PLTR,2.0,0.04690701184932422,2x
PALU,PANW,2.0,0.05745874266669704,2x
QCMU,QCOM,2.0,0.05691141428903035,2x
SHPU,SHOP,2.0,-0.057875520376748146,2x
TSMX,TSM,2.0,-0.14915761422405582,2x
TSLL,TSLA,2.0,-0.002895164786673843,2x
XOMX,XOM,2.0,-0.011372116559649426,2x
XXRP,GXRP,2.0,0.09133668509309034,2x
MSTU,MSTR,2.0,-0.03959156946859144,2x
NVDX,NVDA,2.0,0.030268602329435845,2x
TSLT,TSLA,2.0,-0.005244226868309276,2x
BTCL,IBIT,2.0,0.0725850019586951,2x
ETU,ETHA,2.0,0.07429929705673755,2x
CCUP,CRCL,2.0,0.044776633113417175,2x
CRWU,CRWV,2.0,-0.03631091966748323,2x
AAPX,AAPL,2.0,-0.06260257102112465,2x
GOOX,GOOGL,2.0,0.03857745860247186,2x
MSFX,MSFT,2.0,0.03816414228470433,2x
NFLU,NFLX,2.0,0.05066538332712067,2x
ROBN,HOOD,2.0,-0.00034970496713504495,2x
ARMU,ARM,2.0,-0.08001013121943923,2x
DJTU,DJT,2.0,-0.030784240850307176,2x
RBLU,RBLX,2.0,-0.08381677064047399,2x
SNOU,SNOW,2.0,0.05929997114032326,2x
SMUP,SMR,2.0,-0.060969777555234805,2x
DKUP,DKNG,2.0,0.04894703054386906,2x
GLXU,GLXY,2.0,0.022102016077306885,2x
AFRU,AFRM,2.0,0.021606706136797715,2x
AXUP,AXON,2.0,-0.0003248589212208053,2x
KTUP,KTOS,2.0,0.025759610314561643,2x
TTDU,TTD,2.0,-0.03158205578733053,2x
BKNU,BKNG,2.0,-0.017278327702056062,2x
PXIU,UPXI,2.0,-0.08148283016800517,2x
BMNU,BMNR,2.0,0.014900919796425827,2x
CIFU,CIFR,2.0,0.05893652627341561,2x
SOLX,GSOL,2.0,0.016185149091263007,2x
XRPK,GXRP,2.0,0.24411233040881664,2x
APLX,APLD,2.0,-0.0766788004226211,2x
APPX,APP,2.0,0.038941543707831094,2x
ARCX,ACHR,2.0,0.020027653782527688,2x
ASTX,ASTS,2.0,0.03504973575536163,2x
AURU,AUR,2.0,0.21246657901432808,2x
BEX,BE,2.0,-0.06417049967754174,2x
BLSX,BLSH,2.0,-0.023574453966770603,2x
CEGX,CEG,2.0,0.019694913940442094,2x
CELT,CELH,2.0,0.016527104105320323,2x
CLSX,CLSK,2.0,-0.03494609011128502,2x
COZX,CORZ,2.0,-0.009576833596002587,2x
CRDU,CRDO,2.0,-0.00879677167781745,2x
CSEX,CLS,2.0,0.007412352807619982,2x
CWVX,CRWV,2.0,-0.05959011674678427,2x
DASX,DASH,2.0,-0.11249293681792194,2x
DOGD,DDOG,2.0,-0.03583941583872419,2x
ENPX,ENPH,2.0,0.011166727026349355,2x
FLYT,FLY,2.0,-0.002073733605826411,2x
GEVX,GEV,2.0,-0.06706552824608436,2x
GSX,GS,2.0,0.015425009823894165,2x
IREX,IREN,2.0,0.034298271344262776,2x
JOBX,JOBY,2.0,0.04200302748981444,2x
LABX,ALAB,2.0,0.02458017094126186,2x
LRCU,LRCX,2.0,-0.14865333756038923,2x
LYFX,LYFT,2.0,0.010037836007253054,2x
MDBX,MDB,2.0,0.005474831966752802,2x
NEBX,NBIS,2.0,0.04211634137779163,2x
NETX,NET,2.0,0.0032326402448132896,2x
NNEX,NNE,2.0,-0.058649372098175445,2x
NVTX,NVTS,2.0,0.006026488673279706,2x
NWMX,NEM,2.0,-0.05607558054716799,2x
OKTX,OKTA,2.0,-0.04261781376467466,2x
OPEX,OPEN,2.0,-0.0806837918878145,2x
PONX,PONY,2.0,-0.06138931950393345,2x
QBTX,QBTS,2.0,-0.13191087963712345,2x
QSX,QS,2.0,-0.013555901070530618,2x
QUBX,QUBT,2.0,-0.08274822375723101,2x
RGTU,RGTI,2.0,-0.12359710112426503,2x
